"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-631","Mixed-Signal Integrated Circuits","P","4.0 units","Lecture","30697R","048","2:00-3:50pm","Mon, Fri","30","13","0","Mike Shuo-Wei Chen","MRF229"
"EE-632a","Integrated Communication Systems","P","4.0 units","Lecture","30667R","048","10:00-11:50am","Mon, Wed","30","7","0","Hossein Hashemi","GFS222"
"EE-638","Applications of Machine Learning for Medical Data","P","4.0 units","Lecture","31184R","048","5:00-6:50pm","Mon, Wed","35","6","0","Cauligi Raghavendra Ajitesh Srivastava","LVL13"
"EE-658","Diagnosis and Design of Reliable Digital Systems","","4.0 units","Lecture","30883R","048","11:00-2:50pm","Saturday","40","16","0","Moe Tabar","KAP158"
"EE-660","Machine Learning II: Mathematical Foundations and Methods","P","4.0 units","Lecture","30460R","048","4:00-5:50pm","Mon, Wed","80","28","0","Stephen Tu","OHE136"
"","","","","Discussion","31100R","048","11:00-11:50am","Friday","80","28","0","","OHE136"
"","","","","Lecture","30877D","034","4:00-5:50pm","Mon, Wed","20","0","0","Stephen Tu","DEN@Viterbi"
"","","","","Discussion","31103D","034","11:00-11:50am","Friday","20","0","0","","DEN@Viterbi"
"EE-690","Directed Research","","1.0-4.0 units","Lecture","30830D","048","TBA","","60","9","0","Richard Leahy Michelle Povinelli","OFFICE"
"EE-790","Research","","1.0-12.0 units","Lecture","30831D","048","TBA","","200","187","0","Richard Leahy Tony Levi","OFFICE"
"EE-794a","Doctoral Dissertation","C","2.0 units","Lecture","30832D","048","TBA","","40","21","0","","OFFICE"
"EE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","30833R","048","TBA","","40","22","0","","OFFICE"
"EE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","30834R","048","TBA","","40","8","0","","OFFICE"
"EE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","30835R","048","TBA","","40","14","0","","OFFICE"
"EE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","30836R","048","TBA","","40","13","0","","OFFICE"
